material_id;product_sku;quantity_per_product
1;DC-001;0.3800
2;DC-001;0.0600
3;DC-001;0.0300
8;DC-001;0.0020
11;DC-001;0.0005
13;DC-001;1.0000
16;DC-001;1.0000
18;DC-001;1.0000
1;DC-002;0.7700
2;DC-002;0.1200
3;DC-002;0.0600
8;DC-002;0.0040
11;DC-002;0.0008
14;DC-002;1.0000
17;DC-002;1.0000
19;DC-002;1.0000
1;DC-003;0.3600
3;DC-003;0.0500
4;DC-003;0.0400
9;DC-003;0.0020
13;DC-003;1.0000
16;DC-003;1.0000
18;DC-003;1.0000
1;DC-004;0.4000
4;DC-004;0.0700
3;DC-004;0.0150
13;DC-004;1.0000
16;DC-004;1.0000
18;DC-004;1.0000
1;DC-005;0.3400
2;DC-005;0.0500
12;DC-005;0.0300
10;DC-005;0.0007
13;DC-005;1.0000
16;DC-005;1.0000
18;DC-005;1.0000
1;DC-006;0.2000
6;DC-006;0.0500
5;DC-006;0.0600
7;DC-006;0.0400
9;DC-006;0.0015
13;DC-006;1.0000
17;DC-006;1.0000
18;DC-006;1.0000
1;DC-007;3.7000
2;DC-007;0.7500
3;DC-007;0.3000
8;DC-007;0.0120
15;DC-007;1.0000
17;DC-007;1.0000
19;DC-007;1.0000
13;DC-008;1.0000
16;DC-008;1.0000
18;DC-008;1.0000
22;DC-008;1.0000
23;DC-008;1.0000
20;DC-008;1.0000
13;DC-009;2.0000
16;DC-009;2.0000
18;DC-009;2.0000
22;DC-009;2.0000
23;DC-009;1.0000
24;DC-009;1.0000
21;DC-009;1.0000
1;DC-010;0.7300
3;DC-010;0.1000
4;DC-010;0.0700
9;DC-010;0.0040
14;DC-010;1.0000
17;DC-010;1.0000
19;DC-010;1.0000
1;DC-011;0.3800
5;DC-011;0.0900
7;DC-011;0.0800
6;DC-011;0.0600
14;DC-011;1.0000
17;DC-011;1.0000
19;DC-011;1.0000
1;DC-012;0.8100
4;DC-012;0.1300
3;DC-012;0.0300
14;DC-012;1.0000
17;DC-012;1.0000
19;DC-012;1.0000
