material_id;name;material_type_id;unit_price;stock_quantity;min_quantity;pack_quantity;measurement_unit
1;Вода деминерализованная;8;28.00;4200.000;1500.000;500.000;л
2;ПАВ анионный SLES;1;165.00;980.000;350.000;200.000;кг
3;ПАВ неионогенный APG;2;240.00;610.000;200.000;100.000;кг
4;Изопропиловый спирт;3;125.00;760.000;250.000;100.000;л
5;Силиконовая эмульсия;4;460.00;310.000;120.000;50.000;кг
6;Карнаубский воск;5;980.00;125.000;45.000;20.000;кг
7;Полимерный блеск;4;540.00;210.000;80.000;25.000;кг
8;Отдушка цитрус;6;1450.00;42.000;12.000;5.000;л
9;Отдушка fresh;6;1380.00;38.000;10.000;5.000;л
10;Краситель синий;7;720.00;18.000;5.000;1.000;кг
11;Краситель зеленый;7;710.00;16.000;5.000;1.000;кг
12;Абразив микрогранулы;13;390.00;195.000;60.000;25.000;кг
13;Флакон ПЭТ 500 мл;9;14.50;8600.000;2500.000;500.000;шт
14;Флакон ПЭТ 1 л;9;18.20;5400.000;1800.000;300.000;шт
15;Канистра 5 л;9;52.00;960.000;300.000;100.000;шт
16;Триггер распылитель;10;9.40;7400.000;2200.000;500.000;шт
17;Крышка screw 28 мм;10;3.60;6200.000;2000.000;500.000;шт
18;Этикетка 500 мл;11;2.20;13000.000;4000.000;1000.000;шт
19;Этикетка 1 л;11;2.60;9800.000;3000.000;1000.000;шт
20;Коробка транспортная малая;12;21.00;1750.000;500.000;100.000;шт
21;Коробка транспортная средняя;12;26.00;1240.000;400.000;100.000;шт
22;Салфетка микрофибра 30x30;14;34.00;2200.000;600.000;100.000;шт
23;Губка полировальная;14;28.00;1700.000;500.000;100.000;шт
24;Ручной распылитель foam;14;115.00;540.000;180.000;30.000;шт
