sku;product_type_id;name;min_partner_price
DC-001;1;Автошампунь Citrus Foam 500 мл;490.00
DC-002;1;Автошампунь Citrus Foam 1 л;790.00
DC-003;2;Очиститель салона Fresh Interior 500 мл;520.00
DC-004;3;Очиститель стекол Crystal View 500 мл;450.00
DC-005;4;Очиститель дисков Wheel Blast 500 мл;560.00
DC-006;5;Полироль кузова Carnauba Shine 500 мл;690.00
DC-007;6;Концентрат автошампуня Citrus Pro 5 л;2490.00
DC-008;7;Набор Drive Care Basic;1490.00
DC-009;7;Набор Drive Care Premium;2490.00
DC-010;2;Очиститель салона Fresh Interior 1 л;860.00
DC-011;5;Полироль кузова Graphene Gloss 1 л;1290.00
DC-012;3;Очиститель стекол Crystal View 1 л;690.00
